"";"Gene symbol";"2_2";"2_3";"2_4"
"120";"MIF";0,29234046410819;0,658971539738553;0,275916534584015
"121";"UPB1";0,456745336233593;0,0467993775817281;0,516420429787437
"122";"NINL";0,95331196427188;0,0642207678537332;0,504613507556372
"123";"LAMTOR5";0,119255507773809;0,548411478700302;0,076286107264384
"124";"UTP14A";-0,422565010434085;-0,128806890548864;-0,623344704219254
"125";"GDAP1L1";0,849627446112454;0,276056706581269;0,895466761083341
"126";"TRIP13";-0,832067447039056;-0,634482799900955;-0,720610742051952
"127";"ZNF593";-0,501904311800086;-0,641145903059698;-0,361277065417775
"128";"DOCK11";0,624512342860651;0,329861579015831;0,517466622982096
"129";"A4GALT";0,117712729084786;-0,0882213092096733;0,535784044536918
"130";"MRPS23";-0,618799184676365;-0,499925120490948;-0,572896107621289
"131";"LOC101928669";0,184533218610554;-0,662187367149594;0,29758698143818
"132";"SLC43A3";-0,729959645675278;-1,08320928000454;-0,495791026903805
"133";"PRIM1";-1,21740668884906;-0,626126378628275;-1,16694355491876
"134";"lnc-C14orf118-1";1,05655673739946;0,0965518837942847;1,11350299843854
"135";"DUS3L";-0,422105677942469;-0,928431632226037;-0,280133537806416
"136";"LINC01550";1,42258826265695;0,356891223782841;1,44650136042011
"137";"MGAT1";-0,298864945092713;-0,530858768256796;-0,234381955483323
"138";"UBL5";0,176654175142733;0,654462552111124;0,0563439938204791
"139";"TSPO";0,175840668775734;0,926440937234206;0,243729913438255
"140";"RPS7";0,156196211139735;0,666107383178557;0,0416508349315999
"141";"TVP23B";0,0640549527869217;-0,0746902351610919;-0,573440901741993
"142";"HGC6.3";-0,107679583042163;-0,563648089048161;0,0643328296321968
"143";"TTC39C-AS1";0,536247983706247;0,0370623946956066;0,221472325870602
"144";"LMNB1";-1,68533346324358;-0,394941235199982;-1,34678815801299
"145";"TTC3";0,950706884288839;0,290387654386457;0,658720923335023
"146";"LINC00662";-0,796660832568924;-0,189815590057029;-0,659274330512919
"147";"HIATL1";-0,279285507764067;-0,0447037888925768;-0,670629868797101
"148";"RPL11";-0,00578172775114805;0,651702914125012;0,0498199356904127
"149";"RPA3";-0,406187514764989;-0,548265509159657;-0,333785423830604
"150";"lnc-CDIPT-1";0,594614452162245;0,188887789933209;0,835810558380829
"151";"lnc-TRA2A-1";0,337165282224244;-0,595101899820296;0,138534502302103
"152";"lnc-KCTD6-1";0,122247768312319;-0,0138783426368181;0,547351334002712
"153";"DNAJC9";-1,06318099479212;-1,24593006179002;-0,940380902494907
"154";"lnc-DHX57-2";-0,61329412096292;0,0465090356199358;-0,0211629794625668
"155";"ZFAND1";-0,411379803594458;-0,544453001694089;-0,305285664963267
"156";"TCEA1";-0,785617067013175;-0,22211572793776;-0,845549185083925
"157";"AEN";-0,522280642178731;-0,0477960443077432;-0,303048188736053
"158";"SNORD26";0,250063358968932;-1,10676000377091;0,595244495315822
"159";"TBX1";0,214017525051601;0,0156468249197186;0,541609435435845
"160";"lnc-OBFC2A-1";1,03583138193532;0,150781158456097;0,920365533872974
